Year,"Author and year",Month,"Day of the week","Year and month",Message,Author,Hash,Date,"Lines deleted","Lines added","Lines diff","Lines added logarithmic","Commit count"
2014,"Graham Campbell-2014","11 - November",Sunday,2014-11,"[3.0] Removed some old hacks","Graham Campbell",0004c8eaa392493f307c3a154c871bba2abdbf41,"2014-11-30 21:18:40",14,1,-13,1,1
2015,"Christophe Coevoet-2015","03 - March",Monday,2015-03,"Add parsing of hexadecimal strings for PHP 7","Christophe Coevoet",002728586819a75f6b3a11cd5d97ee4bab092c1c,"2015-03-30 07:37:12",0,12,12,1,1
2016,"Peter Rehm-2016","08 - August",Friday,2016-08,"Improved deprecation message","Peter Rehm",0040166e1829aa8fdfe3c2a99614c5f9bdf90743,"2016-08-05 09:04:52",1,1,0,1,1
2018,"Gabriel Ostrolucký-2018","11 - November",Sunday,2018-11,"Optimize perf by replacing call_user_func with dynamic vars","Gabriel Ostrolucký",006a538738af6b2db7459e7cfb395fc239b8eb56,"2018-11-25 01:27:51",2,2,0,1,1
2016,"Javier Eguiluz-2016","03 - March",Thursday,2016-03,"Updated all the README files","Javier Eguiluz",006f8b8cf0bbc717b6e03f9c3b6007574894bb73,"2016-03-03 12:05:42",14,6,-8,1,1
2015,"Fabien Potencier-2015","04 - April",Friday,2015-04,"Revert ""removed 3.0 constraints from 2.7 composer files""","Fabien Potencier",00ed50e22e1e8735eb55f2d4d18d0fbab6aa6e2a,"2015-04-10 08:55:07",1,1,0,1,1
2014,"Tobias Schultze-2014","06 - June",Friday,2014-06,"Use PSR-4 everywhere instead of PSR-0","Tobias Schultze",014038a7df3b756159245a0afef750cabd4f42cf,"2014-06-20 19:32:40",2,1,-1,1,1
2016,"Robin Chalas-2016","08 - August",Monday,2016-08,"[FrameworkBundle] Fix test scanning the full tmp directory","Robin Chalas",01b75ac66ea4a876ff88489af3b38cd51c87673f,"2016-08-29 18:58:41",1,4,3,1,1
2019,"Fabien Potencier-2019","11 - November",Sunday,2019-11,"updated version to 5.1","Fabien Potencier",01fff05da0d567d6b40078e02d77b515578eee6a,"2019-11-17 18:31:35",1,1,0,1,1
2012,"Jordi Boggiano-2012","02 - February",Saturday,2012-02,"Add branch-alias for composer","Jordi Boggiano",029384ac3a7e75b0ca80108dbc0b5baa2be0791c,"2012-02-25 02:26:20",1,6,5,1,1
2012,"Fabien Potencier-2012","04 - April",Thursday,2012-04,"[Yaml] added CHANGELOG","Fabien Potencier",0297c0894a8e84802a0e0b476b4e3791088215c3,"2012-04-26 17:43:51",0,8,8,1,1
2018,"Grégoire Paris-2018","11 - November",Sunday,2018-11,"Bump phpunit XSD version to 5.2","Grégoire Paris",02c1859112aa779d9ab394ae4f3381911d84052b,"2018-11-11 11:11:22",1,1,0,1,1
2016,"Dariusz Ruminski-2016","10 - October",Sunday,2016-10,"CS: apply rules","Dariusz Ruminski",02ca7175fbfe44392c73aa1618568222a616a316,"2016-10-30 09:34:06",16,16,0,1,1
2016,"Christian Flothmann-2016","01 - January",Wednesday,2016-01,"tag for dumped PHP objects must be a local one","Christian Flothmann",031a751bfdb7e068399d75e52bd2183c6b26bacd,"2016-01-20 19:11:57",8,40,32,1,1
2016,"Christian Flothmann-2016","02 - February",Monday,2016-02,"deprecate starting plain scalars with % characters","Christian Flothmann",03d3eda832ca2b955d687662ea6e88809d9f4b87,"2016-02-15 17:14:40",0,27,27,1,1
2015,pthompson-2015,"01 - January",Friday,2015-01,"Inline private 'is quoting required' methods in Escaper",pthompson,0438de727f3514906675a764859ab0c6edfdb7dd,"2015-01-16 13:12:56",27,9,-18,1,1
2018,"Christian Flothmann-2018","01 - January",Saturday,2018-01,"trim spaces from unquoted scalar values","Christian Flothmann",049b49af1366a76f8b756840547bf9c93ac6d682,"2018-01-20 14:02:12",0,5,5,1,1
2012,"Fabien Potencier-2012","07 - July",Monday,2012-07,"fixed CS (mainly method signatures)","Fabien Potencier",04edc329027cf987462fa4d74c1112d186212f4f,"2012-07-09 12:38:28",17,17,0,1,1
