"Year and author",Year,author,"Days Worked","Days Worked (in years)",Name
"2015-Alex Pott",2015,"Alex Pott",313,0.8575,"Alex Pott"
"2016-Alex Pott",2016,"Alex Pott",678,1.8575,"Alex Pott"
"2017-Alex Pott",2017,"Alex Pott",1044,2.8603,"Alex Pott"
"2018-Alex Pott",2018,"Alex Pott",1409,3.8603,"Alex Pott"
"2020-Alexander M. Turek",2020,"Alexander M. Turek",148,0.4055,"Alexander M. Turek"
"2021-Alexander M. Turek",2021,"Alexander M. Turek",514,1.4082,"Alexander M. Turek"
"2015-Christian Flothmann",2015,"Christian Flothmann",159,0.4356,"Christian Flothmann"
"2016-Christian Flothmann",2016,"Christian Flothmann",524,1.4356,"Christian Flothmann"
"2017-Christian Flothmann",2017,"Christian Flothmann",890,2.4384,"Christian Flothmann"
"2018-Christian Flothmann",2018,"Christian Flothmann",1255,3.4384,"Christian Flothmann"
"2019-Christian Flothmann",2019,"Christian Flothmann",1620,4.4384,"Christian Flothmann"
"2020-Christian Flothmann",2020,"Christian Flothmann",1985,5.4384,"Christian Flothmann"
"2021-Christian Flothmann",2021,"Christian Flothmann",2351,6.4411,"Christian Flothmann"
"2014-Christophe Coevoet",2014,"Christophe Coevoet",83,0.2274,"Christophe Coevoet"
"2015-Christophe Coevoet",2015,"Christophe Coevoet",448,1.2274,"Christophe Coevoet"
"2016-Christophe Coevoet",2016,"Christophe Coevoet",813,2.2274,"Christophe Coevoet"
"2017-Christophe Coevoet",2017,"Christophe Coevoet",1179,3.2301,"Christophe Coevoet"
"2018-Christophe Coevoet",2018,"Christophe Coevoet",1544,4.2301,"Christophe Coevoet"
"2018-Dany Maillard",2018,"Dany Maillard",181,0.4959,"Dany Maillard"
"2016-Dariusz Ruminski",2016,"Dariusz Ruminski",286,0.7836,"Dariusz Ruminski"
"2011-Fabien Potencier",2011,"Fabien Potencier",134,0.3671,"Fabien Potencier"
"2012-Fabien Potencier",2012,"Fabien Potencier",499,1.3671,"Fabien Potencier"
"2013-Fabien Potencier",2013,"Fabien Potencier",865,2.3699,"Fabien Potencier"
"2014-Fabien Potencier",2014,"Fabien Potencier",1230,3.3699,"Fabien Potencier"
"2015-Fabien Potencier",2015,"Fabien Potencier",1595,4.3699,"Fabien Potencier"
"2016-Fabien Potencier",2016,"Fabien Potencier",1960,5.3699,"Fabien Potencier"
"2017-Fabien Potencier",2017,"Fabien Potencier",2326,6.3726,"Fabien Potencier"
"2018-Fabien Potencier",2018,"Fabien Potencier",2691,7.3726,"Fabien Potencier"
"2019-Fabien Potencier",2019,"Fabien Potencier",3056,8.3726,"Fabien Potencier"
"2020-Fabien Potencier",2020,"Fabien Potencier",3421,9.3726,"Fabien Potencier"
"2021-Fabien Potencier",2021,"Fabien Potencier",3787,10.3753,"Fabien Potencier"
"2018-Gabriel Ostrolucký",2018,"Gabriel Ostrolucký",310,0.8493,"Gabriel Ostrolucký"
"2016-Gregor Harlan",2016,"Gregor Harlan",277,0.7589,"Gregor Harlan"
"2017-Gregor Harlan",2017,"Gregor Harlan",643,1.7616,"Gregor Harlan"
"2018-Gregor Harlan",2018,"Gregor Harlan",1008,2.7616,"Gregor Harlan"
"2019-Gregor Harlan",2019,"Gregor Harlan",1373,3.7616,"Gregor Harlan"
"2017-Guilhem N",2017,"Guilhem N",25,0.0685,"Guilhem N"
"2012-Hugo Hamon",2012,"Hugo Hamon",322,0.8822,"Hugo Hamon"
"2013-Hugo Hamon",2013,"Hugo Hamon",688,1.8849,"Hugo Hamon"
"2014-Hugo Hamon",2014,"Hugo Hamon",1053,2.8849,"Hugo Hamon"
"2015-Hugo Hamon",2015,"Hugo Hamon",1418,3.8849,"Hugo Hamon"
"2012-Igor Wiedler",2012,"Igor Wiedler",99,0.2712,"Igor Wiedler"
"2013-Jakub Zalas",2013,"Jakub Zalas",228,0.6247,"Jakub Zalas"
"2014-Jakub Zalas",2014,"Jakub Zalas",593,1.6247,"Jakub Zalas"
"2015-Jakub Zalas",2015,"Jakub Zalas",958,2.6247,"Jakub Zalas"
"2016-Jakub Zalas",2016,"Jakub Zalas",1323,3.6247,"Jakub Zalas"
"2017-Javier Eguiluz",2017,"Javier Eguiluz",304,0.8329,"Javier Eguiluz"
"2018-Javier Eguiluz",2018,"Javier Eguiluz",669,1.8329,"Javier Eguiluz"
"2019-Javier Eguiluz",2019,"Javier Eguiluz",1034,2.8329,"Javier Eguiluz"
"2020-Javier Eguiluz",2020,"Javier Eguiluz",1399,3.8329,"Javier Eguiluz"
"2012-Jordi Boggiano",2012,"Jordi Boggiano",317,0.8685,"Jordi Boggiano"
"2017-Kévin Dunglas",2017,"Kévin Dunglas",175,0.4795,"Kévin Dunglas"
"2011-Kris Wallsmith",2011,"Kris Wallsmith",76,0.2082,"Kris Wallsmith"
"2012-Kris Wallsmith",2012,"Kris Wallsmith",441,1.2082,"Kris Wallsmith"
"2013-Martin Hasoň",2013,"Martin Hasoň",26,0.0712,"Martin Hasoň"
"2018-Maxime Steinhausser",2018,"Maxime Steinhausser",306,0.8384,"Maxime Steinhausser"
"2019-Maxime Steinhausser",2019,"Maxime Steinhausser",671,1.8384,"Maxime Steinhausser"
"2020-Maxime Steinhausser",2020,"Maxime Steinhausser",1036,2.8384,"Maxime Steinhausser"
"2015-Nicolas Grekas",2015,"Nicolas Grekas",280,0.7671,"Nicolas Grekas"
"2016-Nicolas Grekas",2016,"Nicolas Grekas",645,1.7671,"Nicolas Grekas"
"2017-Nicolas Grekas",2017,"Nicolas Grekas",1011,2.7699,"Nicolas Grekas"
"2018-Nicolas Grekas",2018,"Nicolas Grekas",1376,3.7699,"Nicolas Grekas"
"2019-Nicolas Grekas",2019,"Nicolas Grekas",1741,4.7699,"Nicolas Grekas"
"2020-Nicolas Grekas",2020,"Nicolas Grekas",2106,5.7699,"Nicolas Grekas"
"2021-Nicolas Grekas",2021,"Nicolas Grekas",2472,6.7726,"Nicolas Grekas"
2020-Nyholm,2020,Nyholm,118,0.3233,Nyholm
"2018-Oskar Stark",2018,"Oskar Stark",95,0.2603,"Oskar Stark"
"2019-Oskar Stark",2019,"Oskar Stark",460,1.2603,"Oskar Stark"
