Year,Author,"Lines added"
2021,"Alexander M. Turek",0
2021,LoginovIlya,2
2021,"Oskar Stark",4
2021,"Simon Berger",3
2021,"Christian Flothmann",108
2021,"Nicolas Grekas",2
2021,"Fabien Potencier",58
2020,"Christian Flothmann",169
2020,"Alexander M. Turek",8
2020,"Nicolas Grekas",103
2020,Nyholm,27
2020,"Maxime Steinhausser",81
2019,"Christian Flothmann",579
2020,"Markus Fasselt",34
2020,"Tom Klingenberg",1
2020,"Julien Falque",6
2020,"Andre Eckardt",31
2020,"Fabien Potencier",8
2020,"Joshua Nye",34
2020,"Gocha Ossinkine",29
2020,"Wouter Diesveld",20
2020,sdkawata,4
2020,"Thomas Calvet",145
2020,soyuka,7
2020,"Tobias Schultze",1
2020,"Javier Eguiluz",1
2019,"Claus Due",44
2020,"Robin Chalas",0
2019,"Shaharia Azam",1
2020,"Jan Rosier",1
2019,natepage,49
2019,"Jan Schädlich",57
2019,"Nicolas Grekas",36
2019,"Fabien Potencier",1843
2019,"Thomas Calvet",3
2019,"Gregor Harlan",10
2019,Reedy,1
2019,"Alexander M. Turek",35
2017,"Christian Flothmann",1991
2019,Nyholm,2
2019,"Robin Chalas",10
2019,"Yonel Ceruto",19
2019,"Jérémy Derussé",83
2019,"Pierre du Plessis",0
2019,"Aleksandr Dankovtsev",43
2019,"Luis Pabon",2
2019,"Oskar Stark",26
2019,"Soufian EZ ZANTAR",15
2018,guiguiboy,24
2018,"Christian Flothmann",80
2018,"Jörn Lang",4
2018,"Gabriel Ostrolucký",4
2018,"Fabien Potencier",13
2018,"Grégoire Paris",1
2018,"Nicolas Grekas",17
2018,"Laurent Bassin",4
2018,"Yonel Ceruto",29
2018,"Dany Maillard",1
2018,"Christophe Coevoet",37
2018,"David Prévot",1
2018,"Gert de Pagter",2
2018,Anto,51
2018,"Alex Pott",46
2018,"Thomas Counsell",19
2017,"Kévin Dunglas",2
2017,"Fabien Potencier",81
2017,"Romain Neutron",2
2017,"Nicolas Grekas",73
2017,"Titouan Galopin",0
2014,"Michał Strzelecki",73
2017,"Pierre du Plessis",24
2017,"Oskar Stark",0
2017,"Roland Franssen",4
2017,Dariusz,1
2017,SpacePossum,7
2017,"Robin Chalas",35
2017,"Guilhem Niot",238
2017,"Dany Maillard",1
2017,"Wybren Koelmans",12
2017,meyerbaptiste,5
2017,"Richard van Laak",4
2017,"Maxime Steinhausser",3
2017,"Tyson Andre",12
2017,"Asmir Mustafic",19
2017,"Jordan Samouh",12
2017,"Richard Bradley",88
2017,"Gabriel Ostrolucký",9
2017,"Peter Rehm",22
2017,"Christian Schmidt",33
2017,"Vladimir Reznichenko",1
2017,"Guilhem N",337
2016,"Christian Flothmann",1383
2016,"Guilhem N",3
2016,"Fabien Potencier",48
2016,"Noah Heck",15
2016,"Roland Franssen",13
2016,"Dariusz Ruminski",16
2016,"Nicolas Grekas",41
2016,"Romain Neutron",13
2015,"Christian Flothmann",447
2016,"Robin Chalas",333
2016,Ener-Getick,0
2016,"Alex Pott",90
2016,"Peter Rehm",1
2016,"Kévin Dunglas",5
2016,"Remi Collet",1
2016,"Jules Pietri",63
2016,"Joschi Kuphal",34
2016,"Paráda József",117
2016,"Anton Bakai",45
2016,"Baptiste Clavié",20
2016,"Javier Eguiluz",6
2016,"Jakub Zalas",2
2016,Konstantin.Myakshin,0
2016,"Diego Saint Esteben",1
2015,WouterJ,26
2015,"Gregor Harlan",33
2015,"Peter Rehm",3
2015,"Christophe Coevoet",29
2015,"Dariusz Ruminski",20
2015,"Fabien Potencier",110
2015,"Martin Hujer",4
2015,"Nicolas Grekas",40
2015,"Anne-Sophie Bachelard",4
2015,"David Stone",6
2015,maxime.steinhausser,63
2015,"Tobias Schultze",1
2015,"Jose Gonzalez",23
2015,"Veres Lajos",1
2015,"Teoh Han Hui",40
2015,"Mathieu Rochette",18
2015,"Vladimir Reznichenko",17
2015,reecefowell,1
2015,"Gerrit Drost",2
2015,"Rémi Blaise",3
2014,"Tobias Schultze",74
2015,Saro0h,1
2015,"Alex Pott",14
2015,pthompson,9
2015,"Abdellatif Ait boudad",46
2015,victoria,12
